phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Suggestive for eosinophilic asthma	ASTHMA_EOSINOPHIL_SUGG	Comorbidities of Asthma	3104	2763	401589	23	25	1.0589
Alzheimer’s disease (Late onset) (more control exclusions)	AD_LO_EXMORE	Neurological endpoints	8241	7308	199505	23	15	1.1031
Other soft tissue disorders, not elsewhere classified	M13_SOFTTISSUEOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	55533	48063	326530	22	18	1.144
Atherosclerosis, excluding cerebral, coronary and PAD	I9_ATHSCLE	IX Diseases of the circulatory system (I9_)	17832	16243	420324	22	18	1.1258
Degeneration of macula and posterior pole	H7_MACULADEGEN	VII Diseases of the eye and adnexa (H7_)	18777	16525	413784	22	21	1.0752
Graves disease, strict definition	E4_GRAVES_STRICT	IV Endocrine, nutritional and metabolic diseases (E4_)	3437	3176	450296	22	16	1.0519
Sarcoidosis	D3_SARCOIDOSIS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4854	4399	446523	22	19	1.0599
Ulcerative rectosigmoiditis	ULCERRECT	Gastrointestinal endpoints	3088	2797	432380	21	21	1.0618
Ankylosing spondylitis, strict definition	M13_ANKYLOSPON_STRICT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1521	1381	450477	21	17	1.025
Heart failure and hypertrophic cardiomyopathy	I9_HEARTFAIL_AND_HYPERTCARDIOM	Cardiometabolic endpoints	517	454	452488	21	19	0.8971
Cardiomyopathy, other and unspecified	I9_CARDMYOOTH	IX Diseases of the circulatory system (I9_)	2844	2593	342690	21	15	1.043
Disorders of sclera, cornea, iris and ciliary body	H7_SCLERACORNEA	VII Diseases of the eye and adnexa (H7_)	24337	21534	429396	21	20	1.0432
Iridocyclitis	H7_IRIDOCYCLITIS	VII Diseases of the eye and adnexa (H7_)	8957	8016	429396	21	20	1.0372
Malignant melanoma (controls excluding all cancers)	C3_MELANOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	5122	4261	344792	21	14	1.0573
Spondyloarthritis	SPONDYLOARTHRITIS	Comorbidities of Interstitial lung disease endpoints	7700	6991	410029	20	17	1.0604
Systemic connective tissue disorders	M13_SYSTCONNECT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14309	12826	439424	20	19	1.0528
Chronic sinusitis	J10_CHRONSINUSITIS	X Diseases of the respiratory system (J10_)	19856	17987	337881	20	21	1.1058
Other retinal disorders	H7_RETINALDISOTH	VII Diseases of the eye and adnexa (H7_)	28876	25610	413784	20	19	1.0682
Gout, strict definition	GOUT_STRICT	Rheuma endpoints	5793	5162	445197	20	16	1.0719
Episodal and paroxysmal disorders	G6_EPIPAROX	VI Diseases of the nervous system (G6_)	111849	99378	341884	20	16	1.1661
Iron deficiency anaemia	D3_ANAEMIA_IRONDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	17111	15153	433007	20	15	1.0476
Malignant neoplasm of thyroid gland (controls excluding all cancers)	C3_THYROID_GLAND_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	2311	1907	345118	20	14	1.0394
Congenital malformations of the urinary system	Q17_CONGEN_MALFO_URINARY_SYSTEM	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	1917	1732	451816	19	16	1.0535
Primary coxarthrosis, bilateral	PRIM_COXARTHROSIS	Rheuma endpoints	10408	9318	426587	19	16	1.1064
Ovarian cyst	N14_OVARYCYST	XIV Diseases of the genitourinary system (N14_)	25564	22883	119468	19	14	1.0873
Shoulder lesions	M13_SHOULDER	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	42342	37893	326530	19	8	1.1592
Internal derangement of knee	M13_KNEEDERANGEMENTS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	42717	38748	287796	19	14	1.17
Other disorders of cornea	H7_CORNEALOTH	VII Diseases of the eye and adnexa (H7_)	3150	2776	429396	19	21	1.0344
Recurrent or chronic depression	F5_DEPRESSION_RECURRENT	V Mental and behavioural disorders (F5_)	22768	19388	236510	19	18	1.157
Benign neoplasm: Colon	CD2_BENIGN_COLON	II Neoplasms from hospital discharges (CD2_)	20424	18019	433309	19	12	1.0882
Essential (haemorrhagic) thrombocythaemia	THROMBOCYTAEMIA	Other, not yet classified endpoints (same as #MISC)	1171	1062	344335	18	17	1.0017
Endometriosis of pelvic peritoneum	N14_ENDOMETRIOSIS_PELVICPERITONEUM	XIV Diseases of the genitourinary system (N14_)	6893	6237	119468	18	19	1.0863
Disorders of breast	N14_BREAST	XIV Diseases of the genitourinary system (N14_)	21033	18611	233585	18	17	1.0658
Acute appendicitis	K11_APPENDACUT	XI Diseases of the digestive system (K11_)	35180	31628	415845	18	20	1.0848
Other embolism and thrombosis	I9_THROMBOTH	IX Diseases of the circulatory system (I9_)	4732	4223	392860	18	16	1.0424
Heart failure and coronary heart disease	I9_HEARTFAIL_AND_CHD	Cardiometabolic endpoints	15579	13952	402635	18	19	1.1178
Familial hypercholesterolemia, with ischemic heart disease	E4_FH_IHD	IV Endocrine, nutritional and metabolic diseases (E4_)	3228	2959	378141	18	15	1.0596
Amyloidosis, other/unspecified	E4_AMYLNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	492	448	384093	18	17	0.8695
Other Crohn's disease	CHRONOTH	Gastrointestinal endpoints	2553	2318	432380	18	14	1.0482
Crohn's disease NAS	CHRONNAS	Gastrointestinal endpoints	2364	2191	432380	18	16	1.0567
Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	II Neoplasms from hospital discharges (CD2_)	9048	8163	345118	18	16	1.0467
Malignant melanoma of skin (controls excluding all cancers)	C3_MELANOMA_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	3932	3194	345118	18	12	1.0555
Colorectal adenocarcinoma (controls excluding all cancers)	C3_COLORECTAL_ADENO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	7284	5610	345118	18	14	1.0719
Asthma and allergy	ASTHMA_ALLERG	Asthma and related endpoints	6014	5206	245664	18	18	1.0862
Endometriosis ASRM stages 1,2	N14_ENDOMETRIOSIS_ASRM_STAGE1_2	XIV Diseases of the genitourinary system (N14_)	7061	6390	247557	17	14	1.0747
Psoriatic arthropathies	M13_PSORIARTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3897	3537	287796	17	16	1.0677
Lower back pain or/and sciatica	M13_LOWBACKPAINORANDSCIATICA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	53150	46707	400583	17	10	1.1351
Other arthrosis	M13_ARTHROSIS_OTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	26066	23096	287796	17	8	1.145
Thoracic aortic aneurysm	I9_THAORTANEUR	IX Diseases of the circulatory system (I9_)	4460	3880	420324	17	13	1.0646
Paroxysmal tachycardia	I9_PAROXTAC	IX Diseases of the circulatory system (I9_)	11595	10501	231952	17	16	1.0566
Hypertensive Heart Disease	I9_HYPTENSHD	IX Diseases of the circulatory system (I9_)	10283	9219	316345	17	16	1.1245
Heart failure, strict (more control exclusions)	I9_HEARTFAIL_EXMORE	IX Diseases of the circulatory system (I9_)	33250	29672	394758	17	13	1.1075
Keratitis	H7_KERATITIS	VII Diseases of the eye and adnexa (H7_)	14741	12916	429396	17	19	1.0339
Other and unspecified iron deficiency	D3_ANAEMIA_IRONDEF_NAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	12886	11336	433007	17	12	1.0478
STROKE	C_STROKE	Comorbidities of Diabetes	47841	43132	328079	17	13	1.1055
Benign leiomyoma with endometriosis (controls excluding all cancers)	CD2_LEIOMYOMA_ENDOMETRIOSIS_EXALLC	II Neoplasms from hospital discharges (CD2_)	5688	5199	187290	17	13	1.0663
Papillary adenocarcinoma of thyroid gland (controls excluding all cancers)	C3_THYROID_PAPILLARY_ADENO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1741	1472	345118	17	15	1.029
Allergic rhinitis	ALLERG_RHINITIS	Comorbidities of Asthma	13846	12240	430927	17	14	1.0769
SLE (Finngen)	SLE_FG	Rheuma endpoints	1198	1083	338286	16	12	1.0079
Gestational [pregnancy-induced] hypertension	O15_GESTAT_HYPERT	XV Pregnancy, childbirth and the puerperium (O15_)	10739	9535	234147	16	15	1.0977
Early lumbar disc prolapse, operated	M13_EARLY_LUMBAR_PROLAPSE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	10867	9607	442866	16	10	1.0978
Other and unspecified dermatitis	L12_DERMATITISNAS	XII Diseases of the skin and subcutaneous tissue (L12_)	27587	24311	394476	16	13	1.067
Other diseases of liver	K11_DISLIVOTH	XI Diseases of the digestive system (K11_)	6414	5616	440301	16	14	1.0392
Crohn disease (strict definition, require KELA, min 2 HDR)	K11_CD_STRICT2	XI Diseases of the digestive system (K11_)	2186	2033	451337	16	11	1.0485
Pain in joint	JOINTPAIN	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	34952	30614	240864	16	9	1.1422
Diseases of middle ear and mastoid	H8_MIDDLEMASTOID	VIII Diseases of the ear and mastoid process (H8_)	31326	27527	422407	16	17	1.0739
Glaucoma, exfoliation	H7_GLAUCOMA_XFG	VII Diseases of the eye and adnexa (H7_)	3777	3424	430250	16	18	1.0486
Disorders of choroid and retina	H7_CHOROIDRETINA	VII Diseases of the eye and adnexa (H7_)	39949	35531	413784	16	16	1.0716
Cystic fibrosis	E4_CYSTFIBRO	IV Endocrine, nutritional and metabolic diseases (E4_)	76	70	384093	16	16	0.43789
Colorectal cancer (controls excluding all cancers)	C3_COLORECTAL_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	8801	6847	345118	16	13	1.0713
Biological medication for rheuma	RX_RHEUMA_BIOLOGICAL	Drug purchase endpoints	5459	5117	448274	15	13	1.0458
Other congenital malformations of the digestive system	Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	1448	1270	452285	15	18	1.0159
Cleft lip, lip and palate or palate	Q17_CLEFT_LIP_CLEFT_PALATE	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	555	495	453178	15	15	0.90457
Lichen ruber planus, wide definition including periferal and oral lichen planus	K11_LICHEN_PLANUS_WIDE	XI Diseases of the digestive system (K11_)	7450	6411	446283	15	14	1.0588
Other diseases of intestines	K11_INTESTOTH	XI Diseases of the digestive system (K11_)	93340	82800	360393	15	10	1.1254
Tooth agenesis EXCLUDE clefts and syndromes	K11_HYPO_ONLY	XI Diseases of the digestive system (K11_)	1337	1089	451313	15	11	1.017
Non-rheumatic valve diseases	I9_NONRHEVALV	IX Diseases of the circulatory system (I9_)	25200	22653	342690	15	10	1.0905
Conjunctivitis	H7_CONJUNCTIVITIS	VII Diseases of the eye and adnexa (H7_)	36160	32417	413573	15	15	1.0993
Gout, unspecified	GOUT_NOS	Rheuma endpoints	6872	5945	442845	15	16	1.0648
Nerve, nerve root and plexus disorders	G6_NERPLEX	VI Diseases of the nervous system (G6_)	57901	51643	395832	15	12	1.1556
Thyrotoxicosis with toxic multinodular goitre	E4_THYTOXGOITMULT	IV Endocrine, nutritional and metabolic diseases (E4_)	1885	1717	443932	15	14	1.0405
Lymphoid leukaemia (controls excluding all cancers)	CD2_LYMPHOID_LEUKAEMIA_EXALLC	II Neoplasms from hospital discharges (CD2_)	1778	1617	345118	15	12	1.0224
Alcohol use disorder, Swedish definition	AUD_SWEDISH	Alcohol related diseases	26149	24070	427584	15	10	1.1472
Congenital malformations of ovaries, fallopian tubes and broad ligaments	Q17_CONGEN_MALFO_OVARIES_FALLOP_TUBES_BROAD_LIGAM	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	2007	1786	251656	14	8	1.0286
Cleft palate	Q17_CLEFT_PALATE	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	361	319	453178	14	16	0.81785
Noninflammatory disorders of female genital tract	N14_FEMALEGENNONINF	XIV Diseases of the genitourinary system (N14_)	135150	118727	119468	14	12	1.1014
Low back pain	M13_LOWBACKPAIN	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	37567	32845	322314	14	9	1.1428
Diseases of liver	K11_LIVER	XI Diseases of the digestive system (K11_)	13432	11934	440301	14	14	1.057
Haemorrhoids and perianal venous thrombosis	K11_HAEMORR	XI Diseases of the digestive system (K11_)	11749	9749	360393	14	11	1.0768
Diaphragmatic hernia	K11_DIAHER	XI Diseases of the digestive system (K11_)	14282	12886	387841	14	9	1.0976
Idiopathic pulmonary fibrosis	IPF	Interstitial lung disease endpoints	2401	2189	448636	14	12	1.0432
Interstitial lung disease endpoints	ILD_ENDPOINTS	Interstitial lung disease endpoints	5097	4572	448636	14	13	1.0464
Valvular heart disease excluding rheumatic fever	I9_VHD	IX Diseases of the circulatory system (I9_)	25372	22818	342690	14	11	1.0892
Motor neuron disease	G6_ALS	VI Diseases of the nervous system (G6_)	591	531	199772	14	10	0.91679
Dementia in Alzheimer disease	F5_ALZHDEMENT	V Mental and behavioural disorders (F5_)	6741	6145	428053	14	13	1.0842
Vitamin B12 deficiency anaemia	D3_ANAEMIA_B12_DEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	3982	3694	433007	14	12	1.0534
Anaemias	D3_ANAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	33700	30092	104642	14	11	1.0513
Melanocytic naevi	CD2_BENIGN_MELANOCYTIC	II Neoplasms from hospital discharges (CD2_)	11784	9976	441949	14	9	1.0483
Other (seronegative) rheumatoid arthritis, wide	RHEUMA_OTHER_WIDE	Rheuma endpoints	7314	6693	446419	13	12	1.0432
Spondylosis	M13_SPONDYLOSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	24345	21876	322314	13	8	1.1466
Follicular cysts of skin and subcutaneous tissue	L12_FOLLICULARCYST	XII Diseases of the skin and subcutaneous tissue (L12_)	6832	6010	432686	13	14	1.0486
Ventral hernia	K11_VENTHER	XI Diseases of the digestive system (K11_)	9263	8328	387841	13	11	1.0728
All-cause Heart Failure	I9_HEARTFAIL_ALLCAUSE	IX Diseases of the circulatory system (I9_)	32733	29218	419755	13	11	1.1033
Heart failure, strict	I9_HEARTFAIL	IX Diseases of the circulatory system (I9_)	33250	29672	420483	13	13	1.1037
Corneal ulcer	H7_CORNULCER	VII Diseases of the eye and adnexa (H7_)	7048	6118	429396	13	10	1.032
Falls/tendency to fall	FALLS	Miscellaneous, not yet classified endpoints	118054	102835	335679	13	9	1.1263
Disorders of parathyroid gland	E4_PARATHYRO	IV Endocrine, nutritional and metabolic diseases (E4_)	7615	6968	434894	13	14	1.0398
Disorders of iron metabolism	E4_IRON_MET	IV Endocrine, nutritional and metabolic diseases (E4_)	425	358	384093	13	14	0.85569
Hyperparathyroidism	E4_HYPERPARA	IV Endocrine, nutritional and metabolic diseases (E4_)	6684	6094	434894	13	15	1.0435
Certain disorders involving the immune mechanism	D3_IMMUNEMECHANISM	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	7210	6561	446523	13	15	1.0537
Benign neoplasm of meninges	CD2_BENIGN_MENINGES	II Neoplasms from hospital discharges (CD2_)	3283	2904	450450	13	9	1.0305
Chronic lymphocytic leukaemia (controls excluding all cancers)	C3_CLL_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	851	668	345110	13	6	0.98679
Asthma-related pneumonia	ASTHMA_PNEUMONIA	Asthma and related endpoints	14763	13185	401589	13	11	1.0914
Caries in Clefts patients	Q17_CLEFT_AND_CARIES	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	314	266	453419	12	9	0.77726
COPD/asthma/ILD related infections	PULM_INFECTIONS	Interstitial lung disease endpoints	144808	129432	308925	12	9	1.1135
Other disorders of urethra and urinary system	N14_URETHRAOTH	XIV Diseases of the genitourinary system (N14_)	41021	36263	368973	12	9	1.0909
Deep endometriosis	N14_ENDOMETRIOSIS_DEEP	XIV Diseases of the genitourinary system (N14_)	3459	3137	245468	12	7	1.0496
Sciatica+with lumbago	M13_SCIATICA	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	23458	20699	322314	12	11	1.1222
Sacroiliitis, not elsewhere classified	M13_SACROILIITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1765	1554	322314	12	8	1.0269
Meniscus derangement	M13_MENISCUSDERANGEMENTS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	28818	26305	287796	12	4	1.1468
Adhesive capsulitis of shoulder	M13_ADHCAPSULITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	6666	6008	326530	12	15	1.0644
Disorders of skin appendages	L12_DISORDSKINAPPENDIX	XII Diseases of the skin and subcutaneous tissue (L12_)	21047	18076	432686	12	10	1.0617
Other diseases of the digestive system	K11_OTHDIG	XI Diseases of the digestive system (K11_)	19834	17790	433899	12	12	1.0466
Acute pancreatitis	K11_ACUTPANC	XI Diseases of the digestive system (K11_)	7562	6787	397583	12	11	1.0451
Use of antiglaucoma preparations and miotics	H7_GLAUCOMAMEDICATION	VII Diseases of the eye and adnexa (H7_)	2737	2579	430250	12	13	1.0451
Other disorders of eyelid	H7_EYELIDDIS	VII Diseases of the eye and adnexa (H7_)	17791	15764	412885	12	10	1.0803
Migraine	G6_MIGRAINE	VI Diseases of the nervous system (G6_)	23899	20908	341884	12	5	1.1267
Polycystic ovarian syndrome	E4_PCOS	IV Endocrine, nutritional and metabolic diseases (E4_)	1909	1639	241998	12	9	1.0475
Other and/or unspecified nontoxic goitre	E4_GOITRENAS	IV Endocrine, nutritional and metabolic diseases (E4_)	2804	2543	385630	12	12	1.043
Crohn's disease of small intestine	CHRONSMALL	Gastrointestinal endpoints	2457	2205	432380	12	10	1.0513
Childhood allergy (age < 16)	CHILDHOOD_ALLERGY	Asthma and related endpoints	7128	6110	446605	12	10	1.1295
Carcinoma in situ of breast, intraductal (controls excluding all cancers)	CD2_INSITU_BREAST_INTRADUCTAL_EXALLC	II Neoplasms from hospital discharges (CD2_)	2651	2390	201449	12	9	1.0437
Benign neoplasm: Cerebral meninges	CD2_BENIGN_MENINGES_CEREBRAL	II Neoplasms from hospital discharges (CD2_)	2952	2606	450781	12	6	1.0291
Squamous cell neoplasms and carcinomas of the skin (controls excluding all cancers)	C3_SQUOMOUS_CELL_CARCINOMA_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	4078	3531	345118	12	13	1.0612
Colon adenocarcinoma (controls excluding all cancers)	C3_COLON_ADENO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	4147	3212	345118	12	4	1.0437
Obesity related asthma	ASTHMA_OBESITY	Comorbidities of Asthma	13159	11546	401589	12	10	1.1135
Other ulcerative colitis	ULCEROTH	Gastrointestinal endpoints	2049	1875	432380	11	10	1.031
Other congenital malformations of skin	Q17_OTHER_CONGEN_MALFO_SKIN	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	1364	1226	450595	11	11	1.0104
Nephrotic syndrome	N14_NEPHROTICSYND	XIV Diseases of the genitourinary system (N14_)	1008	917	446969	11	12	0.98649
